a 	 ఒక 	(Oka)	
salt 	 ఉప్పు 	(Uppu)	
salty 	 ఉప్పగా ఉంటుంది 	(Uppagā uṇṭundi)	
same 	 అదే 	(Adē)	
sample 	 నమూనా 	(Namūnā)	
sand 	 ఇసుక 	(Isuka)	
satisfaction 	 సంతృప్తి 	(Santr̥pti)	
satisfied 	 సంతృప్తి చెందారు 	(Santr̥pti cendāru)	
satisfy 	 సంతృప్తి చెందుతాయి 	(Santr̥pti cendutāyi)	
satisfying 	 సంతృప్తినిస్తుంది 	(Santr̥ptinistundi)	
Saturday 	 శనివారం 	(Śanivāraṁ)	
sauce 	 సాస్ 	(Sās)	
save 	 సేవ్ 	(Sēv)	
saving 	 పొదుపు 	(Podupu)	
say 	 అంటున్నారు 	(Aṇṭunnāru)	
scale 	 స్థాయి 	(Sthāyi)	
scare 	 భయపెట్టు 	(Bhayapeṭṭu)	
scared 	 భయపడ్డాను 	(Bhayapaḍḍānu)	
scare off 	 భయపెట్టు 	(Bhayapeṭṭu)	
scene 	 దృశ్యం 	(Dr̥śyaṁ)	
schedule 	 షెడ్యూల్ 	(Ṣeḍyūl)	
scheme 	 పథకం 	(Pathakaṁ)	
school 	 పాఠశాల 	(Pāṭhaśāla)	
science 	 సైన్స్ 	(Sains)	
scientific 	 శాస్త్రీయమైనది 	(Śāstrīyamainadi)	
scientist 	 శాస్త్రవేత్త 	(Śāstravētta)	
scissors 	 కత్తెర 	(Kattera)	
score 	 స్కోర్ 	(Skōr)	
scratch 	 స్క్రాచ్ 	(Skrāc)	
scream 	 అరుపు 	(Arupu)	
screen 	 తెర 	(Tera)	
screw 	 స్క్రూ 	(Skrū)	
sea 	 సముద్రం 	(Samudraṁ)	
seal 	 ముద్ర 	(Mudra)	
seal off 	 సీల్ ఆఫ్ 	(Sīl āph)	
search 	 శోధన 	(Śōdhana)	
season 	 సీజన్ 	(Sījan)	
seat 	 సీటు 	(Sīṭu)	
second 1 	 రెండవ 1 	(Reṇḍava 1)	
secondary 	 ద్వితీయ 	(Dvitīya)	
secret 	 రహస్య 	(Rahasya)	
secretary 	 కార్యదర్శి 	(Kāryadarśi)	
secretly 	 రహస్యంగా 	(Rahasyaṅgā)	
section 	 విభాగం 	(Vibhāgaṁ)	
sector 	 రంగం 	(Raṅgaṁ)	
secure 	 సురక్షితమైన 	(Surakṣitamaina)	
security 	 భద్రత 	(Bhadrata)	
see 	 చూడండి 	(Cūḍaṇḍi)	
see about 	 గురించి చూడండి 	(Gurin̄ci cūḍaṇḍi)	
seed 	 విత్తనం 	(Vittanaṁ)	
seek 	 కోరుకుంటారు 	(Kōrukuṇṭāru)	
seem 	 అనిపించవచ్చు 	(Anipin̄cavaccu)	
see to 	 చూడండి 	(Cūḍaṇḍi)	
select 	 ఎంచుకోండి 	(En̄cukōṇḍi)	
selection 	 ఎంపిక 	(Empika)	
self 	 స్వీయ 	(Svīya)	
self- 	 స్వీయ- 	(Svīya-)	
sell 	 అమ్ముతారు 	(Am'mutāru)	
sell off 	 అమ్మేస్తారు 	(Am'mēstāru)	
sell out 	 అమ్ముతాడు 	(Am'mutāḍu)	
senate 	 సెనేట్ 	(Senēṭ)	
senator 	 సెనేటర్ 	(Senēṭar)	
send 	 పంపండి 	(Pampaṇḍi)	
send for 	 కోసం పంపండి 	(Kōsaṁ pampaṇḍi)	
send off 	 పంపించు 	(Pampin̄cu)	
senior 	 సీనియర్ 	(Sīniyar)	
sense 	 భావం 	(Bhāvaṁ)	
sensible 	 తెలివిగల 	(Telivigala)	
sensitive 	 సున్నితమైన 	(Sunnitamaina)	
sentence 	 వాక్యం 	(Vākyaṁ)	
separate 	 వేరు 	(Vēru)	
separated 	 వేరు 	(Vēru)	
separately 	 విడిగా 	(Viḍigā)	
separation 	 వేరు 	(Vēru)	
September 	 సెప్టెంబర్ 	(Sepṭembar)	
series 	 సిరీస్ 	(Sirīs)	
serious 	 తీవ్రమైన 	(Tīvramaina)	
seriously 	 తీవ్రంగా 	(Tīvraṅgā)	
servant 	 సేవకుడు 	(Sēvakuḍu)	
serve 	 సర్వ్ 	(Sarv)	
service 	 సేవ 	(Sēva)	
session 	 సెషన్ 	(Seṣan)	
set 	 సెట్ 	(Seṭ)	
set off 	 బయలుదేరాడు 	(Bayaludērāḍu)	
set out 	 బయలుదేరాడు 	(Bayaludērāḍu)	
settle 	 తేల్చుకోండి 	(Tēlcukōṇḍi)	
settle down 	 స్థిరపడతారు 	(Sthirapaḍatāru)	
set up 	 ఏర్పాటు 	(Ērpāṭu)	
seven 	 ఏడు 	(Ēḍu)	
seventeen 	 పదిహేడు 	(Padihēḍu)	
seventh 	 ఏడవ 	(Ēḍava)	
seventieth 	 డెబ్బైవది 	(Ḍebbaivadi)	
seventy 	 డెబ్బై 	(Ḍebbai)	
several 	 అనేక 	(Anēka)	
severe 	 తీవ్రమైన 	(Tīvramaina)	
severely 	 తీవ్రంగా 	(Tīvraṅgā)	
sew 	 కుట్టుమిషన్ 	(Kuṭṭumiṣan)	
sewing 	 కుట్టుపని 	(Kuṭṭupani)	
sex 	 సెక్స్ 	(Seks)	
sexual 	 లైంగిక 	(Laiṅgika)	
sexually 	 లైంగికంగా 	(Laiṅgikaṅgā)	
shade 	 నీడ 	(Nīḍa)	
shadow 	 నీడ 	(Nīḍa)	
shake 	 వణుకు 	(Vaṇuku)	
shall 	 ఉంటుంది 	(Uṇṭundi)	
shallow 	 నిస్సారమైన 	(Nis'sāramaina)	
shame 	 అవమానం 	(Avamānaṁ)	
shape 	 ఆకారం 	(Ākāraṁ)	
shaped 	 ఆకారంలో 	(Ākāranlō)	
share 	 వాటా 	(Vāṭā)	
sharp 	 పదునైన 	(Padunaina)	
sharply 	 పదునుగా 	(Padunugā)	
shave 	 గొరుగుట 	(Goruguṭa)	
she 	 ఆమె 	(Āme)	
sheep 	 గొర్రెలు 	(Gorrelu)	
sheet 	 షీట్ 	(Ṣīṭ)	
shelf 	 షెల్ఫ్ 	(Ṣelph)	
shell 	 షెల్ 	(Ṣel)	
shelter 	 ఆశ్రయం 	(Āśrayaṁ)	
shift 	 షిఫ్ట్ 	(Ṣiphṭ)	
shine 	 ప్రకాశిస్తాయి 	(Prakāśistāyi)	
shiny 	 మెరిసే 	(Merisē)	
ship 	 ఓడ 	(Ōḍa)	
shirt 	 చొక్కా 	(Cokkā)	
shock 	 షాక్ 	(Ṣāk)	
shocked 	 ఆశ్చర్యపోయాడు 	(Āścaryapōyāḍu)	
shocking 	 షాకింగ్ 	(Ṣākiṅg)	
shoe 	 షూ 	(Ṣū)	
shoot 	 షూట్ 	(Ṣūṭ)	
shoot down 	 కాల్చివేయండి 	(Kālcivēyaṇḍi)	
shooting 	 షూటింగ్ 	(Ṣūṭiṅg)	
shop 	 దుకాణం 	(Dukāṇaṁ)	
shopping 	 షాపింగ్ 	(Ṣāpiṅg)	
short 	 చిన్నది 	(Cinnadi)	
shortly 	 త్వరలో 	(Tvaralō)	
shot 	 కాల్చారు 	(Kālcāru)	
should 	 ఉండాలి 	(Uṇḍāli)	
shoulder 	 భుజం 	(Bhujaṁ)	
shout 	 అరవండి 	(Aravaṇḍi)	
show 	 చూపించు 	(Cūpin̄cu)	
shower 	 షవర్ 	(Ṣavar)	
show off 	 చూపించు 	(Cūpin̄cu)	
show round 	 రౌండ్ చూపించు 	(Rauṇḍ cūpin̄cu)	
show up 	 చూపించు 	(Cūpin̄cu)	
shut 	 మూసి 	(Mūsi)	
shut down 	 మూసివేసింది 	(Mūsivēsindi)	
shut in 	 మూసివేసింది 	(Mūsivēsindi)	
shut out 	 మూసివేసింది 	(Mūsivēsindi)	
shut up 	 నోరుమూసుకో 	(Nōrumūsukō)	
shy 	 పిరికి 	(Piriki)	
sick 	 జబ్బుపడిన 	(Jabbupaḍina)	
side 	 వైపు 	(Vaipu)	
sideways 	 పక్కకి 	(Pakkaki)	
sight 	 దృష్టి 	(Dr̥ṣṭi)	
sign 	 సంకేతం 	(Saṅkētaṁ)	
signal 	 సిగ్నల్ 	(Signal)	
signature 	 సంతకం 	(Santakaṁ)	
significant 	 ముఖ్యమైనది 	(Mukhyamainadi)	
significantly 	 గణనీయంగా 	(Gaṇanīyaṅgā)	
silence 	 నిశ్శబ్దం 	(Niśśabdaṁ)	
silent 	 మౌనంగా 	(Maunaṅgā)	
silk 	 పట్టు 	(Paṭṭu)	
silly 	 వెర్రి 	(Verri)	
silver 	 వెండి 	(Veṇḍi)	
similar 	 ఇలాంటి 	(Ilāṇṭi)	
similarly 	 అదేవిధంగా 	(Adēvidhaṅgā)	
simple 	 సాధారణ 	(Sādhāraṇa)	
simply 	 కేవలం 	(Kēvalaṁ)	
since 	 నుండి 	(Nuṇḍi)	
sincere 	 నిష్కపటమైన 	(Niṣkapaṭamaina)	
sincerely 	 హృదయపూర్వకంగా 	(Hr̥dayapūrvakaṅgā)	
sing 	 పాడతారు 	(Pāḍatāru)	
singer 	 గాయకుడు 	(Gāyakuḍu)	
singing 	 పాడుతున్నారు 	(Pāḍutunnāru)	
single 	 సింగిల్ 	(Siṅgil)	
sink 	 మునిగిపోతుంది 	(Munigipōtundi)	
sir 	 సార్ 	(Sār)	
sister 	 సోదరి 	(Sōdari)	
sit 	 కూర్చోండి 	(Kūrcōṇḍi)	
sit down 	 కూర్చోండి 	(Kūrcōṇḍi)	
site 	 సైట్ 	(Saiṭ)	
situation 	 పరిస్థితి 	(Paristhiti)	
six 	 ఆరు 	(Āru)	
sixteen 	 పదహారు 	(Padahāru)	
sixth 	 ఆరవది 	(Āravadi)	
sixtieth 	 అరవయ్యవది 	(Aravayyavadi)	
sixty 	 అరవై 	(Aravai)	
size 	 పరిమాణం 	(Parimāṇaṁ)	
skilful 	 నైపుణ్యం కలవాడు 	(Naipuṇyaṁ kalavāḍu)	
skilfully 	 నేర్పుగా 	(Nērpugā)	
skill 	 నైపుణ్యం 	(Naipuṇyaṁ)	
skilled 	 నైపుణ్యం కలవాడు 	(Naipuṇyaṁ kalavāḍu)	
skin 	 చర్మం 	(Carmaṁ)	
skirt 	 లంగా 	(Laṅgā)	
sky 	 ఆకాశం 	(Ākāśaṁ)	
sleep 	 నిద్ర 	(Nidra)	
sleeve 	 స్లీవ్ 	(Slīv)	
slice 	 ముక్క 	(Mukka)	
slide 	 స్లయిడ్ 	(Slayiḍ)	
slight 	 కొంచెం 	(Kon̄ceṁ)	
slightly 	 కొద్దిగా 	(Koddigā)	
slip 	 స్లిప్ 	(Slip)	
slope 	 వాలు 	(Vālu)	
slow 	 నెమ్మదిగా 	(Nem'madigā)	
slowly 	 నెమ్మదిగా 	(Nem'madigā)	
small 	 చిన్నది 	(Cinnadi)	
smart 	 తెలివైన 	(Telivaina)	
smash 	 పగులగొట్టు 	(Pagulagoṭṭu)	
smell 	 వాసన 	(Vāsana)	
smile 	 చిరునవ్వు 	(Cirunavvu)	
smoke 	 పొగ 	(Poga)	
smoking 	 ధూమపానం 	(Dhūmapānaṁ)	
smooth 	 మృదువైన 	(Mr̥duvaina)	
smoothly 	 సజావుగా 	(Sajāvugā)	
snake 	 పాము 	(Pāmu)	
snow 	 మంచు 	(Man̄cu)	
so 	 కాబట్టి 	(Kābaṭṭi)	
soap 	 సబ్బు 	(Sabbu)	
social 	 సామాజిక 	(Sāmājika)	
socially 	 సామాజికంగా 	(Sāmājikaṅgā)	
society 	 సమాజం 	(Samājaṁ)	
sock 	 గుంట 	(Guṇṭa)	
soft 	 మృదువైన 	(Mr̥duvaina)	
softly 	 మెత్తగా 	(Mettagā)	
software 	 సాఫ్ట్వేర్ 	(Sāphṭvēr)	
soil 	 నేల 	(Nēla)	
soldier 	 సైనికుడు 	(Sainikuḍu)	
solid 	 ఘనమైన 	(Ghanamaina)	
solution 	 పరిష్కారం 	(Pariṣkāraṁ)	
solve 	 పరిష్కరించండి 	(Pariṣkarin̄caṇḍi)	
some 	 కొన్ని 	(Konni)	
somebody 	 ఎవరైనా 	(Evarainā)	
somehow 	 ఎలాగోలా 	(Elāgōlā)	
someone 	 ఎవరైనా 	(Evarainā)	
something 	 ఏదో 	(Ēdō)	
sometimes 	 కొన్నిసార్లు 	(Konnisārlu)	
somewhat 	 కొంతవరకు 	(Kontavaraku)	
somewhere 	 ఎక్కడో 	(Ekkaḍō)	
son 	 కొడుకు 	(Koḍuku)	
song 	 పాట 	(Pāṭa)	
soon 	 త్వరలో 	(Tvaralō)	
sore 	 పుండు 	(Puṇḍu)	
sorry 	 క్షమించండి 	(Kṣamin̄caṇḍi)	
sort 	 క్రమబద్ధీకరించు 	(Kramabad'dhīkarin̄cu)	
sort out 	 క్రమబద్ధీకరించు 	(Kramabad'dhīkarin̄cu)	
soul 	 ఆత్మ 	(Ātma)	
sound 	 ధ్వని 	(Dhvani)	
soup 	 చారు 	(Cāru)	
sour 	 పులుపు 	(Pulupu)	
source 	 మూలం 	(Mūlaṁ)	
south 	 దక్షిణ 	(Dakṣiṇa)	
southern 	 దక్షిణాది 	(Dakṣiṇādi)	
space 	 స్థలం 	(Sthalaṁ)	
spare 	 విడిగా 	(Viḍigā)	
speak 	 మాట్లాడతారు 	(Māṭlāḍatāru)	
speaker 	 స్పీకర్ 	(Spīkar)	
speak out 	 మాట్లాడు 	(Māṭlāḍu)	
speak up 	 మాట్లాడు 	(Māṭlāḍu)	
special 	 ప్రత్యేక 	(Pratyēka)	
specialist 	 నిపుణుడు 	(Nipuṇuḍu)	
specially 	 ప్రత్యేకంగా 	(Pratyēkaṅgā)	
specific 	 నిర్దిష్టమైన 	(Nirdiṣṭamaina)	
specifically 	 ప్రత్యేకంగా 	(Pratyēkaṅgā)	
speech 	 ప్రసంగం 	(Prasaṅgaṁ)	
speed 	 వేగం 	(Vēgaṁ)	
speed up 	 వేగవంతం 	(Vēgavantaṁ)	
spell 	 స్పెల్ 	(Spel)	
spelling 	 స్పెల్లింగ్ 	(Spelliṅg)	
spend 	 ఖర్చు చేస్తారు 	(Kharcu cēstāru)	
spice 	 మసాలా 	(Masālā)	
spicy 	 కారంగా 	(Kāraṅgā)	
spider 	 సాలీడు 	(Sālīḍu)	
spin 	 స్పిన్ 	(Spin)	
spirit 	 ఆత్మ 	(Ātma)	
spiritual 	 ఆధ్యాత్మికం 	(Ādhyātmikaṁ)	
spite 	 ఉన్నప్పటికీ 	(Unnappaṭikī)	
split 	 విడిపోయింది 	(Viḍipōyindi)	
split up 	 విడిపోయింది 	(Viḍipōyindi)	
spoil 	 పాడు 	(Pāḍu)	
spoken 	 మాట్లాడాడు 	(Māṭlāḍāḍu)	
spoon 	 చెంచా 	(Cen̄cā)	
sport 	 క్రీడ 	(Krīḍa)	
spot 	 స్పాట్ 	(Spāṭ)	
spray 	 స్ప్రే 	(Sprē)	
spread 	 వ్యాప్తి 	(Vyāpti)	
spread out 	 విస్తరించింది 	(Vistarin̄cindi)	
spring 	 వసంత 	(Vasanta)	
square 	 చతురస్రం 	(Caturasraṁ)	
squeeze 	 పిండి వేయు 	(Piṇḍi vēyu)	
stable 	 స్థిరమైన 	(Sthiramaina)	
staff 	 సిబ్బంది 	(Sibbandi)	
stage 	 వేదిక 	(Vēdika)	
stair 	 మెట్లు 	(Meṭlu)	
stamp 	 స్టాంపు 	(Sṭāmpu)	
stand 	 నిలబడండి 	(Nilabaḍaṇḍi)	
standard 	 ప్రమాణం 	(Pramāṇaṁ)	
stand back 	 తిరిగి నిలబడు 	(Tirigi nilabaḍu)	
stand by 	 నిలబడు 	(Nilabaḍu)	
stand for 	 నిలబడు 	(Nilabaḍu)	
stand out 	 నిలబడి 	(Nilabaḍi)	
stand up 	 లేచి నిలబడండి 	(Lēci nilabaḍaṇḍi)	
stand up for 	 నిలబడు 	(Nilabaḍu)	
star 	 నక్షత్రం 	(Nakṣatraṁ)	
stare 	 తదేకంగా చూడు 	(Tadēkaṅgā cūḍu)	
start 	 ప్రారంభించండి 	(Prārambhin̄caṇḍi)	
start off 	 ప్రారంభించండి 	(Prārambhin̄caṇḍi)	
start out 	 ప్రారంభించండి 	(Prārambhin̄caṇḍi)	
start up 	 ప్రారంభించండి 	(Prārambhin̄caṇḍi)	
state 	 రాష్ట్రం 	(Rāṣṭraṁ)	
statement 	 ప్రకటన 	(Prakaṭana)	
station 	 స్టేషన్ 	(Sṭēṣan)	
statue 	 విగ్రహం 	(Vigrahaṁ)	
status 	 హోదా 	(Hōdā)	
stay 	 ఉండు 	(Uṇḍu)	
stay away 	 దూరంగా ఉండండి 	(Dūraṅgā uṇḍaṇḍi)	
stay out of 	 బయట ఉండు 	(Bayaṭa uṇḍu)	
steadily 	 స్థిరంగా 	(Sthiraṅgā)	
steady 	 స్థిరమైన 	(Sthiramaina)	
steal 	 దొంగతనం చేస్తారు 	(Doṅgatanaṁ cēstāru)	
steam 	 ఆవిరి 	(Āviri)	
steel 	 ఉక్కు 	(Ukku)	
steep 	 నిటారుగా 	(Niṭārugā)	
steeply 	 నిటారుగా 	(Niṭārugā)	
steer 	 నడిపించు 	(Naḍipin̄cu)	
step 	 అడుగు 	(Aḍugu)	
stick 	 కర్ర 	(Karra)	
stick out 	 బయటకు కర్ర 	(Bayaṭaku karra)	
stick to 	 కర్ర 	(Karra)	
stick up 	 కర్ర 	(Karra)	
sticky 	 అంటుకునే 	(Aṇṭukunē)	
stiff 	 గట్టి 	(Gaṭṭi)	
stiffly 	 ఠీవిగా 	(Ṭhīvigā)	
still 	 ఇప్పటికీ 	(Ippaṭikī)	
sting 	 స్టింగ్ 	(Sṭiṅg)	
stir 	 కదిలించు 	(Kadilin̄cu)	
stock 	 స్టాక్ 	(Sṭāk)	
stomach 	 కడుపు 	(Kaḍupu)	
stone 	 రాయి 	(Rāyi)	
stop 	 ఆపండి 	(Āpaṇḍi)	
store 	 స్టోర్ 	(Sṭōr)	
storm 	 తుఫాను 	(Tuphānu)	
story 	 కథ 	(Katha)	
stove 	 పొయ్యి 	(Poyyi)	
straight 	 నేరుగా 	(Nērugā)	
strain 	 ఒత్తిడి 	(Ottiḍi)	
strange 	 వింత 	(Vinta)	
strangely 	 వింతగా 	(Vintagā)	
stranger 	 అపరిచితుడు 	(Aparicituḍu)	
strategy 	 వ్యూహం 	(Vyūhaṁ)	
stream 	 ప్రవాహం 	(Pravāhaṁ)	
street 	 వీధి 	(Vīdhi)	
strength 	 బలం 	(Balaṁ)	
stress 	 ఒత్తిడి 	(Ottiḍi)	
stressed 	 నొక్కిచెప్పారు 	(Nokkiceppāru)	
stretch 	 సాగదీయడం 	(Sāgadīyaḍaṁ)	
strict 	 కఠినమైన 	(Kaṭhinamaina)	
strictly 	 కఠినంగా 	(Kaṭhinaṅgā)	
strike 	 సమ్మె 	(Sam'me)	
striking 	 కొట్టడం 	(Koṭṭaḍaṁ)	
string 	 స్ట్రింగ్ 	(Sṭriṅg)	
strip 	 స్ట్రిప్ 	(Sṭrip)	
stripe 	 గీత 	(Gīta)	
striped 	 చారల 	(Cārala)	
stroke 	 స్ట్రోక్ 	(Sṭrōk)	
strong 	 బలమైన 	(Balamaina)	
strongly 	 గట్టిగా 	(Gaṭṭigā)	
structure 	 నిర్మాణం 	(Nirmāṇaṁ)	
struggle 	 పోరాటం 	(Pōrāṭaṁ)	
student 	 విద్యార్థి 	(Vidyārthi)	
studio 	 స్టూడియో 	(Sṭūḍiyō)	
study 	 చదువు 	(Caduvu)	
stuff 	 అంశాలు 	(Anśālu)	
stupid 	 తెలివితక్కువ 	(Telivitakkuva)	
style 	 శైలి 	(Śaili)	
subject 	 విషయం 	(Viṣayaṁ)	
substance 	 పదార్ధం 	(Padārdhaṁ)	
substantial 	 గణనీయమైన 	(Gaṇanīyamaina)	
substantially 	 గణనీయంగా 	(Gaṇanīyaṅgā)	
substitute 	 ప్రత్యామ్నాయం 	(Pratyāmnāyaṁ)	
succeed 	 విజయం సాధిస్తారు 	(Vijayaṁ sādhistāru)	
success 	 విజయం 	(Vijayaṁ)	
successful 	 విజయవంతమైంది 	(Vijayavantamaindi)	
successfully 	 విజయవంతంగా 	(Vijayavantaṅgā)	
such 	 అటువంటి 	(Aṭuvaṇṭi)	
suck 	 పీలుస్తుంది 	(Pīlustundi)	
sudden 	 ఆకస్మికంగా 	(Ākasmikaṅgā)	
suddenly 	 అకస్మాత్తుగా 	(Akasmāttugā)	
suffer 	 బాధపడతారు 	(Bādhapaḍatāru)	
suffering 	 బాధ 	(Bādha)	
sufficient 	 తగినంత 	(Taginanta)	
sufficiently 	 తగినంతగా 	(Taginantagā)	
sugar 	 చక్కెర 	(Cakkera)	
suggest 	 సూచించండి 	(Sūcin̄caṇḍi)	
suggestion 	 సూచన 	(Sūcana)	
suit 	 దావా 	(Dāvā)	
suitable 	 తగినది 	(Taginadi)	
suitcase 	 సూట్కేస్ 	(Sūṭkēs)	
suited 	 సరిపోయింది 	(Saripōyindi)	
sum 	 మొత్తం 	(Mottaṁ)	
summary 	 సారాంశం 	(Sārānśaṁ)	
summer 	 వేసవి 	(Vēsavi)	
sum up 	 మొత్తం 	(Mottaṁ)	
sun 	 సూర్యుడు 	(Sūryuḍu)	
Sunday 	 ఆదివారం 	(Ādivāraṁ)	
superior 	 ఉన్నతమైన 	(Unnatamaina)	
supermarket 	 సూపర్ మార్కెట్ 	(Sūpar mārkeṭ)	
supply 	 సరఫరా 	(Sarapharā)	
support 	 మద్దతు 	(Maddatu)	
supporter 	 మద్దతుదారు 	(Maddatudāru)	
suppose 	 అనుకుందాం 	(Anukundāṁ)	
sure 	 ఖచ్చితంగా 	(Khaccitaṅgā)	
surely 	 తప్పకుండా 	(Tappakuṇḍā)	
surface 	 ఉపరితలం 	(Uparitalaṁ)	
surname 	 ఇంటిపేరు 	(Iṇṭipēru)	
surprise 	 ఆశ్చర్యం 	(Āścaryaṁ)	
surprised 	 ఆశ్చర్యపోయాడు 	(Āścaryapōyāḍu)	
surprising 	 ఆశ్చర్యకరం 	(Āścaryakaraṁ)	
surprisingly 	 ఆశ్చర్యకరంగా 	(Āścaryakaraṅgā)	
surround 	 చుట్టుముట్టండి 	(Cuṭṭumuṭṭaṇḍi)	
surrounding 	 పరిసర 	(Parisara)	
surroundings 	 పరిసరాలు 	(Parisarālu)	
survey 	 సర్వే 	(Sarvē)	
survive 	 బ్రతుకుతాయి 	(Bratukutāyi)	
suspect 	 అనుమానిస్తున్నారు 	(Anumānistunnāru)	
suspicion 	 అనుమానం 	(Anumānaṁ)	
suspicious 	 అనుమానాస్పదమైన 	(Anumānāspadamaina)	
swallow 	 మ్రింగు 	(Mriṅgu)	
swear 	 ప్రమాణం 	(Pramāṇaṁ)	
swearing 	 తిట్లు 	(Tiṭlu)	
sweat 	 చెమట 	(Cemaṭa)	
sweater 	 స్వెటర్ 	(Sveṭar)	
sweep 	 స్వీప్ 	(Svīp)	
sweet 	 తీపి 	(Tīpi)	
swell 	 ఉబ్బు 	(Ubbu)	
swelling 	 వాపు 	(Vāpu)	
swim 	 ఈత కొట్టండి 	(Īta koṭṭaṇḍi)	
swimming 	 ఈత కొట్టడం 	(Īta koṭṭaḍaṁ)	
swimming pool 	 ఈత కొలను 	(Īta kolanu)	
swing 	 స్వింగ్ 	(Sviṅg)	
switch 	 మారండి 	(Māraṇḍi)	
switch off 	 స్విచ్ ఆఫ్ 	(Svic āph)	
swollen 	 ఉబ్బిన 	(Ubbina)	
symbol 	 చిహ్నం 	(Cihnaṁ)	
sympathetic 	 సానుభూతిపరుడు 	(Sānubhūtiparuḍu)	
sympathy 	 సానుభూతి 	(Sānubhūti)	
system 	 వ్యవస్థ 	(Vyavastha)	
table 	 పట్టిక 	(Paṭṭika)	
tablet 	 టాబ్లెట్ 	(Ṭābleṭ)	
tackle 	 అధిగమించేందుకు 	(Adhigamin̄cēnduku)	
tail 	 తోక 	(Tōka)	
take 	 పడుతుంది 	(Paḍutundi)	
take away 	 తీసుకెళ్ళండి 	(Tīsukeḷḷaṇḍi)	
take back 	 వెనక్కి తీసుకో 	(Venakki tīsukō)	
take down 	 దించు 	(Din̄cu)	
take in 	 లోపలికి తీసుకోండి 	(Lōpaliki tīsukōṇḍi)	
take off 	 బయలుదేరు 	(Bayaludēru)	
take on 	 తీసుకుంటారు 	(Tīsukuṇṭāru)	
take over 	 స్వాధీనం చేసుకుంటాయి 	(Svādhīnaṁ cēsukuṇṭāyi)	
take up 	 చేపట్టండి 	(Cēpaṭṭaṇḍi)	
talk 	 మాట్లాడండి 	(Māṭlāḍaṇḍi)	
tall 	 పొడవు 	(Poḍavu)	
tank 	 ట్యాంక్ 	(Ṭyāṅk)	
tap 	 నొక్కండి 	(Nokkaṇḍi)	
tape 	 టేప్ 	(Ṭēp)	
target 	 లక్ష్యం 	(Lakṣyaṁ)	
task 	 పని 	(Pani)	
taste 	 రుచి 	(Ruci)	
tax 	 పన్ను 	(Pannu)	
taxi 	 టాక్సీ 	(Ṭāksī)	
tea 	 టీ 	(Ṭī)	
teach 	 బోధిస్తారు 	(Bōdhistāru)	
teacher 	 గురువు 	(Guruvu)	
teaching 	 బోధన 	(Bōdhana)	
team 	 జట్టు 	(Jaṭṭu)	
tear 1 	 కన్నీరు 1 	(Kannīru 1)	
tear 2 	 కన్నీరు 2 	(Kannīru 2)	
tear up 	 కూల్చివేసి 	(Kūlcivēsi)	
technical 	 సాంకేతిక 	(Sāṅkētika)	
technique 	 సాంకేతికత 	(Sāṅkētikata)	
technology 	 సాంకేతికత 	(Sāṅkētikata)	
telephone 	 టెలిఫోన్ 	(Ṭeliphōn)	
television 	 టెలివిజన్ 	(Ṭelivijan)	
tell 	 చెప్పు 	(Ceppu)	
tell off 	 చెప్పు 	(Ceppu)	
temperature 	 ఉష్ణోగ్రత 	(Uṣṇōgrata)	
temporarily 	 తాత్కాలికంగా 	(Tātkālikaṅgā)	
temporary 	 తాత్కాలిక 	(Tātkālika)	
ten 	 పది 	(Padi)	
tend 	 మొగ్గు 	(Moggu)	
tendency 	 ధోరణి 	(Dhōraṇi)	
tension 	 ఉద్రిక్తత 	(Udriktata)	
tent 	 డేరా 	(Ḍērā)	
tenth 	 పదవ 	(Padava)	
term 	 పదం 	(Padaṁ)	
terrible 	 భయంకరమైన 	(Bhayaṅkaramaina)	
terribly 	 భయంకరంగా 	(Bhayaṅkaraṅgā)	
test 	 పరీక్ష 	(Parīkṣa)	
text 	 వచనం 	(Vacanaṁ)	
than 	 కంటే 	(Kaṇṭē)	
thank 	 ధన్యవాదాలు 	(Dhan'yavādālu)	
thanks 	 ధన్యవాదాలు 	(Dhan'yavādālu)	
thank you 	 ధన్యవాదాలు 	(Dhan'yavādālu)	
that 	 అని 	(Ani)	
the 	 ది 	(Di)	
theatre 	 థియేటర్ 	(Thiyēṭar)	
their 	 వారి 	(Vāri)	
theirs 	 వారిది 	(Vāridi)	
them 	 వాటిని 	(Vāṭini)	
theme 	 థీమ్ 	(Thīm)	
themselves 	 తమను తాము 	(Tamanu tāmu)	
then 	 అప్పుడు 	(Appuḍu)	
theory 	 సిద్ధాంతం 	(Sid'dhāntaṁ)	
there 	 అక్కడ 	(Akkaḍa)	
therefore 	 అందువలన 	(Anduvalana)	
they 	 వారు 	(Vāru)	
thick 	 మందపాటి 	(Mandapāṭi)	
thickly 	 మందంగా 	(Mandaṅgā)	
thickness 	 మందం 	(Mandaṁ)	
thief 	 దొంగ 	(Doṅga)	
thin 	 సన్నగా 	(Sannagā)	
thing 	 విషయం 	(Viṣayaṁ)	
think 	 అనుకుంటాను 	(Anukuṇṭānu)	
think about 	 గురించి ఆలోచించండి 	(Gurin̄ci ālōcin̄caṇḍi)	
thinking 	 ఆలోచిస్తున్నాను 	(Ālōcistunnānu)	
think of 	 అనుకుంటాను 	(Anukuṇṭānu)	
think of as 	 గా ఆలోచించండి 	(Gā ālōcin̄caṇḍi)	
