a	ఒక	oka	[sound:ఒక_google_female.mp3]
slow	నెమ్మదిగా	nem'madigā	[sound:నెమ్మదిగా_google_female.mp3]
slowly	నెమ్మదిగా	nem'madigā	[sound:నెమ్మదిగా_google_female.mp3]
small	చిన్నది	cinnadi	[sound:చిన్నది_google_female.mp3]
smart	తెలివైన	telivaina	[sound:తెలివైన_google_female.mp3]
smash	పగులగొట్టు	pagulagoṭṭu	[sound:పగులగొట్టు_google_female.mp3]
smell	వాసన	vāsana	[sound:వాసన_google_female.mp3]
smile	చిరునవ్వు	cirunavvu	[sound:చిరునవ్వు_google_female.mp3]
smoke	పొగ	poga	[sound:పొగ_google_female.mp3]
smoking	ధూమపానం	dhūmapānaṁ	[sound:ధూమపానం_google_female.mp3]
smooth	మృదువైన	mr̥duvaina	[sound:మృదువైన_google_female.mp3]
smoothly	సజావుగా	sajāvugā	[sound:సజావుగా_google_female.mp3]
snake	పాము	pāmu	[sound:పాము_google_female.mp3]
snow	మంచు	man̄cu	[sound:మంచు_google_female.mp3]
so	కాబట్టి	kābaṭṭi	[sound:కాబట్టి_google_female.mp3]
soap	సబ్బు	sabbu	[sound:సబ్బు_google_female.mp3]
social	సామాజిక	sāmājika	[sound:సామాజిక_google_female.mp3]
socially	సామాజికంగా	sāmājikaṅgā	[sound:సామాజికంగా_google_female.mp3]
society	సమాజం	samājaṁ	[sound:సమాజం_google_female.mp3]
sock	గుంట	guṇṭa	[sound:గుంట_google_female.mp3]
soft	మృదువైన	mr̥duvaina	[sound:మృదువైన_google_female.mp3]
softly	మెత్తగా	mettagā	[sound:మెత్తగా_google_female.mp3]
software	సాఫ్ట్వేర్	sāphṭvēr	[sound:సాఫ్ట్వేర్_google_female.mp3]
soil	నేల	nēla	[sound:నేల_google_female.mp3]
soldier	సైనికుడు	sainikuḍu	[sound:సైనికుడు_google_female.mp3]
solid	ఘనమైన	ghanamaina	[sound:ఘనమైన_google_female.mp3]
solution	పరిష్కారం	pariṣkāraṁ	[sound:పరిష్కారం_google_female.mp3]
solve	పరిష్కరించండి	pariṣkarin̄caṇḍi	[sound:పరిష్కరించండి_google_female.mp3]
some	కొన్ని	konni	[sound:కొన్ని_google_female.mp3]
somebody	ఎవరైనా	evarainā	[sound:ఎవరైనా_google_female.mp3]
somehow	ఎలాగోలా	elāgōlā	[sound:ఎలాగోలా_google_female.mp3]
someone	ఎవరైనా	evarainā	[sound:ఎవరైనా_google_female.mp3]
something	ఏదో	ēdō	[sound:ఏదో_google_female.mp3]
sometimes	కొన్నిసార్లు	konnisārlu	[sound:కొన్నిసార్లు_google_female.mp3]
somewhat	కొంతవరకు	kontavaraku	[sound:కొంతవరకు_google_female.mp3]
somewhere	ఎక్కడో	ekkaḍō	[sound:ఎక్కడో_google_female.mp3]
son	కొడుకు	koḍuku	[sound:కొడుకు_google_female.mp3]
song	పాట	pāṭa	[sound:పాట_google_female.mp3]
soon	త్వరలో	tvaralō	[sound:త్వరలో_google_female.mp3]
sore	పుండు	puṇḍu	[sound:పుండు_google_female.mp3]
sorry	క్షమించండి	kṣamin̄caṇḍi	[sound:క్షమించండి_google_female.mp3]
sort	క్రమబద్ధీకరించు	kramabad'dhīkarin̄cu	[sound:క్రమబద్ధీకరించు_google_female.mp3]
sort out	క్రమబద్ధీకరించు	kramabad'dhīkarin̄cu	[sound:క్రమబద్ధీకరించు_google_female.mp3]
soul	ఆత్మ	ātma	[sound:ఆత్మ_google_female.mp3]
sound	ధ్వని	dhvani	[sound:ధ్వని_google_female.mp3]
soup	చారు	cāru	[sound:చారు_google_female.mp3]
sour	పులుపు	pulupu	[sound:పులుపు_google_female.mp3]
source	మూలం	mūlaṁ	[sound:మూలం_google_female.mp3]
south	దక్షిణ	dakṣiṇa	[sound:దక్షిణ_google_female.mp3]
southern	దక్షిణాది	dakṣiṇādi	[sound:దక్షిణాది_google_female.mp3]
space	స్థలం	sthalaṁ	[sound:స్థలం_google_female.mp3]
spare	విడిగా	viḍigā	[sound:విడిగా_google_female.mp3]
speak	మాట్లాడతారు	māṭlāḍatāru	[sound:మాట్లాడతారు_google_female.mp3]
speaker	స్పీకర్	spīkar	[sound:స్పీకర్_google_female.mp3]
speak out	మాట్లాడు	māṭlāḍu	[sound:మాట్లాడు_google_female.mp3]
speak up	మాట్లాడు	māṭlāḍu	[sound:మాట్లాడు_google_female.mp3]
special	ప్రత్యేక	pratyēka	[sound:ప్రత్యేక_google_female.mp3]
specialist	నిపుణుడు	nipuṇuḍu	[sound:నిపుణుడు_google_female.mp3]
specially	ప్రత్యేకంగా	pratyēkaṅgā	[sound:ప్రత్యేకంగా_google_female.mp3]
specific	నిర్దిష్టమైన	nirdiṣṭamaina	[sound:నిర్దిష్టమైన_google_female.mp3]
specifically	ప్రత్యేకంగా	pratyēkaṅgā	[sound:ప్రత్యేకంగా_google_female.mp3]
speech	ప్రసంగం	prasaṅgaṁ	[sound:ప్రసంగం_google_female.mp3]
speed	వేగం	vēgaṁ	[sound:వేగం_google_female.mp3]
speed up	వేగవంతం	vēgavantaṁ	[sound:వేగవంతం_google_female.mp3]
spell	స్పెల్	spel	[sound:స్పెల్_google_female.mp3]
spelling	స్పెల్లింగ్	spelliṅg	[sound:స్పెల్లింగ్_google_female.mp3]
spend	ఖర్చు చేస్తారు	kharcu cēstāru	[sound:ఖర్చు చేస్తారు_google_female.mp3]
spice	మసాలా	masālā	[sound:మసాలా_google_female.mp3]
spicy	కారంగా	kāraṅgā	[sound:కారంగా_google_female.mp3]
spider	సాలీడు	sālīḍu	[sound:సాలీడు_google_female.mp3]
spin	స్పిన్	spin	[sound:స్పిన్_google_female.mp3]
spirit	ఆత్మ	ātma	[sound:ఆత్మ_google_female.mp3]
spiritual	ఆధ్యాత్మికం	ādhyātmikaṁ	[sound:ఆధ్యాత్మికం_google_female.mp3]
spite	ఉన్నప్పటికీ	unnappaṭikī	[sound:ఉన్నప్పటికీ_google_female.mp3]
split	విడిపోయింది	viḍipōyindi	[sound:విడిపోయింది_google_female.mp3]
split up	విడిపోయింది	viḍipōyindi	[sound:విడిపోయింది_google_female.mp3]
spoil	పాడు	pāḍu	[sound:పాడు_google_female.mp3]
spoken	మాట్లాడాడు	māṭlāḍāḍu	[sound:మాట్లాడాడు_google_female.mp3]
spoon	చెంచా	cen̄cā	[sound:చెంచా_google_female.mp3]
sport	క్రీడ	krīḍa	[sound:క్రీడ_google_female.mp3]
spot	స్పాట్	spāṭ	[sound:స్పాట్_google_female.mp3]
spray	స్ప్రే	sprē	[sound:స్ప్రే_google_female.mp3]
spread	వ్యాప్తి	vyāpti	[sound:వ్యాప్తి_google_female.mp3]
spread out	విస్తరించింది	vistarin̄cindi	[sound:విస్తరించింది_google_female.mp3]
spring	వసంత	vasanta	[sound:వసంత_google_female.mp3]
square	చతురస్రం	caturasraṁ	[sound:చతురస్రం_google_female.mp3]
squeeze	పిండి వేయు	piṇḍi vēyu	[sound:పిండి వేయు_google_female.mp3]
stable	స్థిరమైన	sthiramaina	[sound:స్థిరమైన_google_female.mp3]
staff	సిబ్బంది	sibbandi	[sound:సిబ్బంది_google_female.mp3]
stage	వేదిక	vēdika	[sound:వేదిక_google_female.mp3]
stair	మెట్లు	meṭlu	[sound:మెట్లు_google_female.mp3]
stamp	స్టాంపు	sṭāmpu	[sound:స్టాంపు_google_female.mp3]
stand	నిలబడండి	nilabaḍaṇḍi	[sound:నిలబడండి_google_female.mp3]
standard	ప్రమాణం	pramāṇaṁ	[sound:ప్రమాణం_google_female.mp3]
stand back	తిరిగి నిలబడు	tirigi nilabaḍu	[sound:తిరిగి నిలబడు_google_female.mp3]
stand by	నిలబడు	nilabaḍu	[sound:నిలబడు_google_female.mp3]
stand for	నిలబడు	nilabaḍu	[sound:నిలబడు_google_female.mp3]
stand out	నిలబడి	nilabaḍi	[sound:నిలబడి_google_female.mp3]
stand up	లేచి నిలబడండి	lēci nilabaḍaṇḍi	[sound:లేచి నిలబడండి_google_female.mp3]
stand up for	నిలబడు	nilabaḍu	[sound:నిలబడు_google_female.mp3]
star	నక్షత్రం	nakṣatraṁ	[sound:నక్షత్రం_google_female.mp3]
stare	తదేకంగా చూడు	tadēkaṅgā cūḍu	[sound:తదేకంగా చూడు_google_female.mp3]
start	ప్రారంభించండి	prārambhin̄caṇḍi	[sound:ప్రారంభించండి_google_female.mp3]
start off	ప్రారంభించండి	prārambhin̄caṇḍi	[sound:ప్రారంభించండి_google_female.mp3]
start out	ప్రారంభించండి	prārambhin̄caṇḍi	[sound:ప్రారంభించండి_google_female.mp3]
start up	ప్రారంభించండి	prārambhin̄caṇḍi	[sound:ప్రారంభించండి_google_female.mp3]
state	రాష్ట్రం	rāṣṭraṁ	[sound:రాష్ట్రం_google_female.mp3]
statement	ప్రకటన	prakaṭana	[sound:ప్రకటన_google_female.mp3]
station	స్టేషన్	sṭēṣan	[sound:స్టేషన్_google_female.mp3]
statue	విగ్రహం	vigrahaṁ	[sound:విగ్రహం_google_female.mp3]
status	హోదా	hōdā	[sound:హోదా_google_female.mp3]
stay	ఉండు	uṇḍu	[sound:ఉండు_google_female.mp3]
stay away	దూరంగా ఉండండి	dūraṅgā uṇḍaṇḍi	[sound:దూరంగా ఉండండి_google_female.mp3]
stay out of	బయట ఉండు	bayaṭa uṇḍu	[sound:బయట ఉండు_google_female.mp3]
steadily	స్థిరంగా	sthiraṅgā	[sound:స్థిరంగా_google_female.mp3]
steady	స్థిరమైన	sthiramaina	[sound:స్థిరమైన_google_female.mp3]
steal	దొంగతనం చేస్తారు	doṅgatanaṁ cēstāru	[sound:దొంగతనం చేస్తారు_google_female.mp3]
steam	ఆవిరి	āviri	[sound:ఆవిరి_google_female.mp3]
steel	ఉక్కు	ukku	[sound:ఉక్కు_google_female.mp3]
steep	నిటారుగా	niṭārugā	[sound:నిటారుగా_google_female.mp3]
steeply	నిటారుగా	niṭārugā	[sound:నిటారుగా_google_female.mp3]
steer	నడిపించు	naḍipin̄cu	[sound:నడిపించు_google_female.mp3]
step	అడుగు	aḍugu	[sound:అడుగు_google_female.mp3]
stick	కర్ర	karra	[sound:కర్ర_google_female.mp3]
stick out	బయటకు కర్ర	bayaṭaku karra	[sound:బయటకు కర్ర_google_female.mp3]
stick to	కర్ర	karra	[sound:కర్ర_google_female.mp3]
stick up	కర్ర	karra	[sound:కర్ర_google_female.mp3]
sticky	అంటుకునే	aṇṭukunē	[sound:అంటుకునే_google_female.mp3]
stiff	గట్టి	gaṭṭi	[sound:గట్టి_google_female.mp3]
stiffly	ఠీవిగా	ṭhīvigā	[sound:ఠీవిగా_google_female.mp3]
still	ఇప్పటికీ	ippaṭikī	[sound:ఇప్పటికీ_google_female.mp3]
sting	స్టింగ్	sṭiṅg	[sound:స్టింగ్_google_female.mp3]
stir	కదిలించు	kadilin̄cu	[sound:కదిలించు_google_female.mp3]
stock	స్టాక్	sṭāk	[sound:స్టాక్_google_female.mp3]
stomach	కడుపు	kaḍupu	[sound:కడుపు_google_female.mp3]
stone	రాయి	rāyi	[sound:రాయి_google_female.mp3]
stop	ఆపండి	āpaṇḍi	[sound:ఆపండి_google_female.mp3]
store	స్టోర్	sṭōr	[sound:స్టోర్_google_female.mp3]
storm	తుఫాను	tuphānu	[sound:తుఫాను_google_female.mp3]
story	కథ	katha	[sound:కథ_google_female.mp3]
stove	పొయ్యి	poyyi	[sound:పొయ్యి_google_female.mp3]
straight	నేరుగా	nērugā	[sound:నేరుగా_google_female.mp3]
strain	ఒత్తిడి	ottiḍi	[sound:ఒత్తిడి_google_female.mp3]
strange	వింత	vinta	[sound:వింత_google_female.mp3]
strangely	వింతగా	vintagā	[sound:వింతగా_google_female.mp3]
stranger	అపరిచితుడు	aparicituḍu	[sound:అపరిచితుడు_google_female.mp3]
strategy	వ్యూహం	vyūhaṁ	[sound:వ్యూహం_google_female.mp3]
stream	ప్రవాహం	pravāhaṁ	[sound:ప్రవాహం_google_female.mp3]
street	వీధి	vīdhi	[sound:వీధి_google_female.mp3]
strength	బలం	balaṁ	[sound:బలం_google_female.mp3]
stress	ఒత్తిడి	ottiḍi	[sound:ఒత్తిడి_google_female.mp3]
stressed	నొక్కిచెప్పారు	nokkiceppāru	[sound:నొక్కిచెప్పారు_google_female.mp3]
stretch	సాగదీయడం	sāgadīyaḍaṁ	[sound:సాగదీయడం_google_female.mp3]
strict	కఠినమైన	kaṭhinamaina	[sound:కఠినమైన_google_female.mp3]
strictly	కఠినంగా	kaṭhinaṅgā	[sound:కఠినంగా_google_female.mp3]
strike	సమ్మె	sam'me	[sound:సమ్మె_google_female.mp3]
striking	కొట్టడం	koṭṭaḍaṁ	[sound:కొట్టడం_google_female.mp3]
string	స్ట్రింగ్	sṭriṅg	[sound:స్ట్రింగ్_google_female.mp3]
strip	స్ట్రిప్	sṭrip	[sound:స్ట్రిప్_google_female.mp3]
stripe	గీత	gīta	[sound:గీత_google_female.mp3]
striped	చారల	cārala	[sound:చారల_google_female.mp3]
stroke	స్ట్రోక్	sṭrōk	[sound:స్ట్రోక్_google_female.mp3]
strong	బలమైన	balamaina	[sound:బలమైన_google_female.mp3]
strongly	గట్టిగా	gaṭṭigā	[sound:గట్టిగా_google_female.mp3]
structure	నిర్మాణం	nirmāṇaṁ	[sound:నిర్మాణం_google_female.mp3]
struggle	పోరాటం	pōrāṭaṁ	[sound:పోరాటం_google_female.mp3]
student	విద్యార్థి	vidyārthi	[sound:విద్యార్థి_google_female.mp3]
studio	స్టూడియో	sṭūḍiyō	[sound:స్టూడియో_google_female.mp3]
study	చదువు	caduvu	[sound:చదువు_google_female.mp3]
stuff	అంశాలు	anśālu	[sound:అంశాలు_google_female.mp3]
stupid	తెలివితక్కువ	telivitakkuva	[sound:తెలివితక్కువ_google_female.mp3]
style	శైలి	śaili	[sound:శైలి_google_female.mp3]
subject	విషయం	viṣayaṁ	[sound:విషయం_google_female.mp3]
substance	పదార్ధం	padārdhaṁ	[sound:పదార్ధం_google_female.mp3]
substantial	గణనీయమైన	gaṇanīyamaina	[sound:గణనీయమైన_google_female.mp3]
substantially	గణనీయంగా	gaṇanīyaṅgā	[sound:గణనీయంగా_google_female.mp3]
substitute	ప్రత్యామ్నాయం	pratyāmnāyaṁ	[sound:ప్రత్యామ్నాయం_google_female.mp3]
succeed	విజయం సాధిస్తారు	vijayaṁ sādhistāru	[sound:విజయం సాధిస్తారు_google_female.mp3]
success	విజయం	vijayaṁ	[sound:విజయం_google_female.mp3]
successful	విజయవంతమైంది	vijayavantamaindi	[sound:విజయవంతమైంది_google_female.mp3]
successfully	విజయవంతంగా	vijayavantaṅgā	[sound:విజయవంతంగా_google_female.mp3]
such	అటువంటి	aṭuvaṇṭi	[sound:అటువంటి_google_female.mp3]
suck	పీలుస్తుంది	pīlustundi	[sound:పీలుస్తుంది_google_female.mp3]
sudden	ఆకస్మికంగా	ākasmikaṅgā	[sound:ఆకస్మికంగా_google_female.mp3]
suddenly	అకస్మాత్తుగా	akasmāttugā	[sound:అకస్మాత్తుగా_google_female.mp3]
suffer	బాధపడతారు	bādhapaḍatāru	[sound:బాధపడతారు_google_female.mp3]
suffering	బాధ	bādha	[sound:బాధ_google_female.mp3]
sufficient	తగినంత	taginanta	[sound:తగినంత_google_female.mp3]
sufficiently	తగినంతగా	taginantagā	[sound:తగినంతగా_google_female.mp3]
sugar	చక్కెర	cakkera	[sound:చక్కెర_google_female.mp3]
suggest	సూచించండి	sūcin̄caṇḍi	[sound:సూచించండి_google_female.mp3]
suggestion	సూచన	sūcana	[sound:సూచన_google_female.mp3]
suit	దావా	dāvā	[sound:దావా_google_female.mp3]
suitable	తగినది	taginadi	[sound:తగినది_google_female.mp3]
suitcase	సూట్కేస్	sūṭkēs	[sound:సూట్కేస్_google_female.mp3]
suited	సరిపోయింది	saripōyindi	[sound:సరిపోయింది_google_female.mp3]
sum	మొత్తం	mottaṁ	[sound:మొత్తం_google_female.mp3]
summary	సారాంశం	sārānśaṁ	[sound:సారాంశం_google_female.mp3]
summer	వేసవి	vēsavi	[sound:వేసవి_google_female.mp3]
sum up	మొత్తం	mottaṁ	[sound:మొత్తం_google_female.mp3]
sun	సూర్యుడు	sūryuḍu	[sound:సూర్యుడు_google_female.mp3]
Sunday	ఆదివారం	ādivāraṁ	[sound:ఆదివారం_google_female.mp3]
superior	ఉన్నతమైన	unnatamaina	[sound:ఉన్నతమైన_google_female.mp3]
supermarket	సూపర్ మార్కెట్	sūpar mārkeṭ	[sound:సూపర్ మార్కెట్_google_female.mp3]
supply	సరఫరా	sarapharā	[sound:సరఫరా_google_female.mp3]
support	మద్దతు	maddatu	[sound:మద్దతు_google_female.mp3]
supporter	మద్దతుదారు	maddatudāru	[sound:మద్దతుదారు_google_female.mp3]
suppose	అనుకుందాం	anukundāṁ	[sound:అనుకుందాం_google_female.mp3]
sure	ఖచ్చితంగా	khaccitaṅgā	[sound:ఖచ్చితంగా_google_female.mp3]
surely	తప్పకుండా	tappakuṇḍā	[sound:తప్పకుండా_google_female.mp3]
surface	ఉపరితలం	uparitalaṁ	[sound:ఉపరితలం_google_female.mp3]
surname	ఇంటిపేరు	iṇṭipēru	[sound:ఇంటిపేరు_google_female.mp3]
surprise	ఆశ్చర్యం	āścaryaṁ	[sound:ఆశ్చర్యం_google_female.mp3]
surprised	ఆశ్చర్యపోయాడు	āścaryapōyāḍu	[sound:ఆశ్చర్యపోయాడు_google_female.mp3]
surprising	ఆశ్చర్యకరం	āścaryakaraṁ	[sound:ఆశ్చర్యకరం_google_female.mp3]
surprisingly	ఆశ్చర్యకరంగా	āścaryakaraṅgā	[sound:ఆశ్చర్యకరంగా_google_female.mp3]
surround	చుట్టుముట్టండి	cuṭṭumuṭṭaṇḍi	[sound:చుట్టుముట్టండి_google_female.mp3]
surrounding	పరిసర	parisara	[sound:పరిసర_google_female.mp3]
surroundings	పరిసరాలు	parisarālu	[sound:పరిసరాలు_google_female.mp3]
survey	సర్వే	sarvē	[sound:సర్వే_google_female.mp3]
survive	బ్రతుకుతాయి	bratukutāyi	[sound:బ్రతుకుతాయి_google_female.mp3]
suspect	అనుమానిస్తున్నారు	anumānistunnāru	[sound:అనుమానిస్తున్నారు_google_female.mp3]
suspicion	అనుమానం	anumānaṁ	[sound:అనుమానం_google_female.mp3]
suspicious	అనుమానాస్పదమైన	anumānāspadamaina	[sound:అనుమానాస్పదమైన_google_female.mp3]
swallow	మ్రింగు	mriṅgu	[sound:మ్రింగు_google_female.mp3]
swear	ప్రమాణం	pramāṇaṁ	[sound:ప్రమాణం_google_female.mp3]
swearing	తిట్లు	tiṭlu	[sound:తిట్లు_google_female.mp3]
sweat	చెమట	cemaṭa	[sound:చెమట_google_female.mp3]
sweater	స్వెటర్	sveṭar	[sound:స్వెటర్_google_female.mp3]
sweep	స్వీప్	svīp	[sound:స్వీప్_google_female.mp3]
sweet	తీపి	tīpi	[sound:తీపి_google_female.mp3]
swell	ఉబ్బు	ubbu	[sound:ఉబ్బు_google_female.mp3]
swelling	వాపు	vāpu	[sound:వాపు_google_female.mp3]
swim	ఈత కొట్టండి	īta koṭṭaṇḍi	[sound:ఈత కొట్టండి_google_female.mp3]
swimming	ఈత కొట్టడం	īta koṭṭaḍaṁ	[sound:ఈత కొట్టడం_google_female.mp3]
swimming pool	ఈత కొలను	īta kolanu	[sound:ఈత కొలను_google_female.mp3]
swing	స్వింగ్	sviṅg	[sound:స్వింగ్_google_female.mp3]
switch	మారండి	māraṇḍi	[sound:మారండి_google_female.mp3]
switch off	స్విచ్ ఆఫ్	svic āph	[sound:స్విచ్ ఆఫ్_google_female.mp3]
swollen	ఉబ్బిన	ubbina	[sound:ఉబ్బిన_google_female.mp3]
symbol	చిహ్నం	cihnaṁ	[sound:చిహ్నం_google_female.mp3]
sympathetic	సానుభూతిపరుడు	sānubhūtiparuḍu	[sound:సానుభూతిపరుడు_google_female.mp3]
sympathy	సానుభూతి	sānubhūti	[sound:సానుభూతి_google_female.mp3]
system	వ్యవస్థ	vyavastha	[sound:వ్యవస్థ_google_female.mp3]
table	పట్టిక	paṭṭika	[sound:పట్టిక_google_female.mp3]
tablet	టాబ్లెట్	ṭābleṭ	[sound:టాబ్లెట్_google_female.mp3]
tackle	అధిగమించేందుకు	adhigamin̄cēnduku	[sound:అధిగమించేందుకు_google_female.mp3]
tail	తోక	tōka	[sound:తోక_google_female.mp3]
take	పడుతుంది	paḍutundi	[sound:పడుతుంది_google_female.mp3]
take away	తీసుకెళ్ళండి	tīsukeḷḷaṇḍi	[sound:తీసుకెళ్ళండి_google_female.mp3]
take back	వెనక్కి తీసుకో	venakki tīsukō	[sound:వెనక్కి తీసుకో_google_female.mp3]
take down	దించు	din̄cu	[sound:దించు_google_female.mp3]
take in	లోపలికి తీసుకోండి	lōpaliki tīsukōṇḍi	[sound:లోపలికి తీసుకోండి_google_female.mp3]
take off	బయలుదేరు	bayaludēru	[sound:బయలుదేరు_google_female.mp3]
take on	తీసుకుంటారు	tīsukuṇṭāru	[sound:తీసుకుంటారు_google_female.mp3]
take over	స్వాధీనం చేసుకుంటాయి	svādhīnaṁ cēsukuṇṭāyi	[sound:స్వాధీనం చేసుకుంటాయి_google_female.mp3]
take up	చేపట్టండి	cēpaṭṭaṇḍi	[sound:చేపట్టండి_google_female.mp3]
talk	మాట్లాడండి	māṭlāḍaṇḍi	[sound:మాట్లాడండి_google_female.mp3]
tall	పొడవు	poḍavu	[sound:పొడవు_google_female.mp3]
tank	ట్యాంక్	ṭyāṅk	[sound:ట్యాంక్_google_female.mp3]
tap	నొక్కండి	nokkaṇḍi	[sound:నొక్కండి_google_female.mp3]
tape	టేప్	ṭēp	[sound:టేప్_google_female.mp3]
target	లక్ష్యం	lakṣyaṁ	[sound:లక్ష్యం_google_female.mp3]
task	పని	pani	[sound:పని_google_female.mp3]
taste	రుచి	ruci	[sound:రుచి_google_female.mp3]
tax	పన్ను	pannu	[sound:పన్ను_google_female.mp3]
taxi	టాక్సీ	ṭāksī	[sound:టాక్సీ_google_female.mp3]
tea	టీ	ṭī	[sound:టీ_google_female.mp3]
teach	బోధిస్తారు	bōdhistāru	[sound:బోధిస్తారు_google_female.mp3]
teacher	గురువు	guruvu	[sound:గురువు_google_female.mp3]
teaching	బోధన	bōdhana	[sound:బోధన_google_female.mp3]
team	జట్టు	jaṭṭu	[sound:జట్టు_google_female.mp3]
tear 1	కన్నీరు 1	kannīru 1	[sound:కన్నీరు 1_google_female.mp3]
tear 2	కన్నీరు 2	kannīru 2	[sound:కన్నీరు 2_google_female.mp3]
tear up	కూల్చివేసి	kūlcivēsi	[sound:కూల్చివేసి_google_female.mp3]
technical	సాంకేతిక	sāṅkētika	[sound:సాంకేతిక_google_female.mp3]
technique	సాంకేతికత	sāṅkētikata	[sound:సాంకేతికత_google_female.mp3]
technology	సాంకేతికత	sāṅkētikata	[sound:సాంకేతికత_google_female.mp3]
telephone	టెలిఫోన్	ṭeliphōn	[sound:టెలిఫోన్_google_female.mp3]
television	టెలివిజన్	ṭelivijan	[sound:టెలివిజన్_google_female.mp3]
tell	చెప్పు	ceppu	[sound:చెప్పు_google_female.mp3]
tell off	చెప్పు	ceppu	[sound:చెప్పు_google_female.mp3]
temperature	ఉష్ణోగ్రత	uṣṇōgrata	[sound:ఉష్ణోగ్రత_google_female.mp3]
temporarily	తాత్కాలికంగా	tātkālikaṅgā	[sound:తాత్కాలికంగా_google_female.mp3]
temporary	తాత్కాలిక	tātkālika	[sound:తాత్కాలిక_google_female.mp3]
ten	పది	padi	[sound:పది_google_female.mp3]
tend	మొగ్గు	moggu	[sound:మొగ్గు_google_female.mp3]
tendency	ధోరణి	dhōraṇi	[sound:ధోరణి_google_female.mp3]
tension	ఉద్రిక్తత	udriktata	[sound:ఉద్రిక్తత_google_female.mp3]
tent	డేరా	ḍērā	[sound:డేరా_google_female.mp3]
tenth	పదవ	padava	[sound:పదవ_google_female.mp3]
term	పదం	padaṁ	[sound:పదం_google_female.mp3]
terrible	భయంకరమైన	bhayaṅkaramaina	[sound:భయంకరమైన_google_female.mp3]
terribly	భయంకరంగా	bhayaṅkaraṅgā	[sound:భయంకరంగా_google_female.mp3]
test	పరీక్ష	parīkṣa	[sound:పరీక్ష_google_female.mp3]
text	వచనం	vacanaṁ	[sound:వచనం_google_female.mp3]
than	కంటే	kaṇṭē	[sound:కంటే_google_female.mp3]
thank	ధన్యవాదాలు	dhan'yavādālu	[sound:ధన్యవాదాలు_google_female.mp3]
thanks	ధన్యవాదాలు	dhan'yavādālu	[sound:ధన్యవాదాలు_google_female.mp3]
thank you	ధన్యవాదాలు	dhan'yavādālu	[sound:ధన్యవాదాలు_google_female.mp3]
that	అని	ani	[sound:అని_google_female.mp3]
the	ది	di	[sound:ది_google_female.mp3]
theatre	థియేటర్	thiyēṭar	[sound:థియేటర్_google_female.mp3]
their	వారి	vāri	[sound:వారి_google_female.mp3]
theirs	వారిది	vāridi	[sound:వారిది_google_female.mp3]
them	వాటిని	vāṭini	[sound:వాటిని_google_female.mp3]
theme	థీమ్	thīm	[sound:థీమ్_google_female.mp3]
themselves	తమను తాము	tamanu tāmu	[sound:తమను తాము_google_female.mp3]
then	అప్పుడు	appuḍu	[sound:అప్పుడు_google_female.mp3]
theory	సిద్ధాంతం	sid'dhāntaṁ	[sound:సిద్ధాంతం_google_female.mp3]
there	అక్కడ	akkaḍa	[sound:అక్కడ_google_female.mp3]
therefore	అందువలన	anduvalana	[sound:అందువలన_google_female.mp3]
they	వారు	vāru	[sound:వారు_google_female.mp3]
thick	మందపాటి	mandapāṭi	[sound:మందపాటి_google_female.mp3]
thickly	మందంగా	mandaṅgā	[sound:మందంగా_google_female.mp3]
thickness	మందం	mandaṁ	[sound:మందం_google_female.mp3]
thief	దొంగ	doṅga	[sound:దొంగ_google_female.mp3]
thin	సన్నగా	sannagā	[sound:సన్నగా_google_female.mp3]
thing	విషయం	viṣayaṁ	[sound:విషయం_google_female.mp3]
think	అనుకుంటాను	anukuṇṭānu	[sound:అనుకుంటాను_google_female.mp3]
think about	గురించి ఆలోచించండి	gurin̄ci ālōcin̄caṇḍi	[sound:గురించి ఆలోచించండి_google_female.mp3]
thinking	ఆలోచిస్తున్నాను	ālōcistunnānu	[sound:ఆలోచిస్తున్నాను_google_female.mp3]
think of	అనుకుంటాను	anukuṇṭānu	[sound:అనుకుంటాను_google_female.mp3]
think of as	గా ఆలోచించండి	gā ālōcin̄caṇḍi	[sound:గా ఆలోచించండి_google_female.mp3]
think over	ఆలోచించండి	ālōcin̄caṇḍi	[sound:ఆలోచించండి_google_female.mp3]
think up	ఆలోచించు	ālōcin̄cu	[sound:ఆలోచించు_google_female.mp3]
third	మూడవది	mūḍavadi	[sound:మూడవది_google_female.mp3]
thirsty	దాహం వేసింది	dāhaṁ vēsindi	[sound:దాహం వేసింది_google_female.mp3]
thirteen	పదమూడు	padamūḍu	[sound:పదమూడు_google_female.mp3]
thirteenth	పదమూడవ	padamūḍava	[sound:పదమూడవ_google_female.mp3]
thirtieth	ముప్పైవది	muppaivadi	[sound:ముప్పైవది_google_female.mp3]
thirty	ముప్పై	muppai	[sound:ముప్పై_google_female.mp3]
this	ఇది	idi	[sound:ఇది_google_female.mp3]
thorough	క్షుణ్ణంగా	kṣuṇṇaṅgā	[sound:క్షుణ్ణంగా_google_female.mp3]
thoroughly	పూర్తిగా	pūrtigā	[sound:పూర్తిగా_google_female.mp3]
though	అయితే	ayitē	[sound:అయితే_google_female.mp3]
thought	అనుకున్నాడు	anukunnāḍu	[sound:అనుకున్నాడు_google_female.mp3]
thousand	వెయ్యి	veyyi	[sound:వెయ్యి_google_female.mp3]
thousandth	వెయ్యవ	veyyava	[sound:వెయ్యవ_google_female.mp3]
