a 	 ﻿a
significantly 	 గణనీయంగా
silence 	 మౌనం
silent 	 మౌన
silk 	 పట్టు
silly 	 వెర్రితనం
silver 	 వెండి
similar 	 సమానం
similarly 	 అదేవిధంగా
simple 	 సామాన్య
simply 	 సింపుల్
since 	 నుండి
sincere 	 హృదయపూర్వక
sincerely 	 హృదయపూర్వకంగా
sing 	 పాడు
singer 	 పాడేవాడు
singing 	 గానం
single 	 ఏక
sink 	 మునుగు
sir 	 అయ్యా
sister 	 సోదరి
sit 	 కూర్చో
sit down 	 కూర్చో
site 	 సైట్
situation 	 స్థితి
six 	 ఆరు
sixteen 	 పదహారు
sixth 	 ఆరవ
sixtieth 	 అరవైవ వంతు
sixty 	 అరవై
size 	 పరిమాణం
skilful 	 నైపుణ్యం కలిగినవాడు
skilfully 	 నేర్పుగా
skill 	 దక్షత
skilled 	 నైపుణ్యం
skin 	 తోలు
skirt 	 పరికిణి
sky 	 ఆకాశం
sleep 	 నిద్ర
sleeve 	 స్లీవ్
slice 	 చీలిక
slide 	 జారు
slight 	 తృణీకరించు
slightly 	 కొద్దిగా
slip 	 జారడం
slope 	 వాలు
slow 	 నెమ్మది
slowly 	 మెల్లగా
small 	 చిన్న
smart 	 చురుకు
smash 	 బద్దలుకొట్టు
smell 	 వాసన
smile 	 చిరునవ్వు
smoke 	 పొగ
smoking 	 ధూమపానం
smooth 	 స్మూత్
smoothly 	 మృదువుగా
snake 	 పాము
snow 	 మంచు
so 	 ఏదో
soap 	 సబ్బు
social 	 సాంఘిక
socially 	 సామాజికంగా
society 	 సమాజం
sock 	 మేజోడు
soft 	 మెత్తని
softly 	 మెత్తగా
software 	 సాఫ్ట్ వేర్
soil 	 మట్టి
soldier 	 సైనికుడు
solid 	 ఘన
solution 	 కరిగినది
solve 	 ముగించు
some 	 కొన్ని
somebody 	 ఎవరో
somehow 	 ఎలాగైనా
someone 	 ఒకరిని
something 	 ఏదో
sometimes 	 అప్పుడప్పుడు
somewhat 	 కొంచెంసేపు
somewhere 	 ఎక్కడో
son 	 కొడుకు
song 	 పాట
soon 	 వెంటనే
sore 	 పుండు
sorry 	 క్షమించండి
sort 	 ఏరడం
sort out 	 పరిష్కరించండి
soul 	 ఆత్మ
sound 	 ధ్వని
soup 	 పులుసు
sour 	 పులుపు
source 	 మూలం
south 	 దక్షిణం
southern 	 దక్షిణ
space 	 అంతరిక్షం
spare 	 విడి
speak 	 మాట్లాడు
speaker 	 భాషి
speak out 	 మాట్లాడండి
speak up 	 మాట్లాడండి
special 	 ప్రత్యేక
specialist 	 స్పెషలిస్ట్
specially 	 ప్రత్యేకంగా
specific 	 ప్రత్యేక
specifically 	 ప్రత్యేకంగా
speech 	 ఉక్తి
speed 	 వడి
speed up 	 వేగవంతం చేయండి
spell 	 ఉచ్చరించు
spelling 	 వర్ణక్రమం
spend 	 గడుపు
spice 	 మసాలా
spicy 	 స్పైసీ
spider 	 సాలె పురుగు
spin 	 గుండ్రంగా
spirit 	 అంతరాత్మ
spiritual 	 ఆధ్యాత్మిక
spite 	 అక్కసు
split 	 చీల్చు
split up 	 విడిపోయి..
spoil 	 చెడగొట్టు
spoken 	 మాట్లాడతారు
spoon 	 గరిటె
sport 	 క్రీడ
spot 	 మచ్చ
spray 	 చల్లు
spread 	 వ్యాపించు
spread out 	 వ్యాప్తి చెందింది
spring 	 వసంత ఋతువు
square 	 చతురస్రం
squeeze 	 పిండు
stable 	 స్థిరమైన
staff 	 సిబ్బంది
stage 	 వేదిక
stair 	 మెట్లు
stamp 	 తొక్కు
stand 	 నిలబడు
standard 	 ప్రమాణం
stand back 	 వెనక్కి నిలబడండి
stand by 	 ప్రత్యామ్నాయ
stand for 	 నిలబడండి
stand out 	 ప్రత్యేకంగా నిలబడండి
stand up 	 నిలబడు
stand up for 	 నిలబడండి
star 	 చుక్క
stare 	 చూపులు
start 	 బయలుదేరు
start off 	 ప్రారంభించండి
start out 	 ప్రారంభించండి
start up 	 స్టార్ట్ అప్
state 	 రాష్ట్రం
statement 	 ప్రకటన
station 	 స్టేషన్
statue 	 విగ్రహం
status 	 హోదా
stay 	 ఉండు
stay away 	 దూరంగా ఉండండి
stay out of 	 దూరంగా ఉండండి
steadily 	 నిలకడగా
steady 	 నిలకడ
steal 	 దొంగిలించు
steam 	 ఆవిరి
steel 	 ఉక్కు
steep 	 నిటారుగా
steeply 	 నిటారుగా
steer 	 గిత్త
step 	 మెట్టు
stick 	 కర్ర
stick out 	 బయటకు అతుక్కుపోండి
stick to 	 దానికి కట్టుబడి ఉండండి
stick up 	 పైకి అతుక్కుపోండి
sticky 	 జిగట
stiff 	 గట్టి
stiffly 	 గట్టిగా
still 	 నిశ్చల
sting 	 కుట్టు
stir 	 కదిలించు
stock 	 స్టాక్
stomach 	 కడుపు
stone 	 రాయి
stop 	 ఆపు
store 	 షాప్
storm 	 గాలివాన
story 	 కథ
stove 	 పొయ్యి
straight 	 తిన్నగా
strain 	 వడబోయు
strange 	 వింత
strangely 	 విచిత్రంగా
stranger 	 అపరిచితుడు
strategy 	 వ్యూహం
stream 	 సెలయేరు
street 	 వీధి
strength 	 ఓజస్సు
stress 	 ఒత్తిడి
stressed 	 ఒత్తిడికి గురయ్యారు
stretch 	 సాగు
strict 	 కచ్చితము
strictly 	 ఖచ్చితంగా
strike 	 సమ్మె
striking 	 వింతైన
string 	 తీగ
strip 	 బెరడు
stripe 	 చార
striped 	 స్ట్రిప్డ్
stroke 	 నిమురు
strong 	 బలమైన
strongly 	 గట్టిగా
structure 	 రూపం
struggle 	 పోరాటం
student 	 విద్యార్థి
studio 	 studio
study 	 చదువు
stuff 	 దట్టించు
stupid 	 తెలివితక్కువ
style 	 తీరు
subject 	 పాలితుడు
substance 	 వస్తువు
substantial 	 పక్కా
substantially 	 గణనీయంగా
substitute 	 బదులు
succeed 	 జయించు
success 	 విజయం
successful 	 విజయవంతమైంది
successfully 	 విజయవంతంగా
such 	 అటువంటి
suck 	 చీకు
sudden 	 ఆకస్మికమైన
suddenly 	 హఠాత్తుగా
suffer 	 అనుభవించు
suffering 	 బాధ
sufficient 	 సరిపోయింది
sufficiently 	 తగినంత
sugar 	 చక్కెర
suggest 	 జాడచూపు
suggestion 	 సూచన
suit 	 జతపడు
suitable 	 అనువు
suitcase 	 సూట్ కేస్
suited 	 తగినది
sum 	 మొత్తం
summary 	 సారం
summer 	 ఎండాకాలం
sum up 	 మొత్తం
sun 	 సూర్యుడు
Sunday 	 ఆదివారం
superior 	 మిన్న
supermarket 	 సూపర్ మార్కెట్
supply 	 సరఫరా
support 	 సహాయంగా
supporter 	 దన్నుదారు
suppose 	 అనుకుందాం
sure 	 కుదిరిన
surely 	 ఖచ్చితంగా
surface 	 ఉపరితలం
surname 	 ఇంటిపేరు
surprise 	 ఆశ్చర్యం
surprised 	 ఆశ్చర్యంగా ఉంది
surprising 	 ఆశ్చర్యంగా ఉంది
surprisingly 	 ఆశ్చర్యకరంగా
surround 	 చుట్టుకొను
surrounding 	 చుట్టుపక్కల
surroundings 	 చుట్టు పక్కల
survey 	 సర్వే
survive 	 జీవించు
suspect 	 అనుమానించు
suspicion 	 అనుమానం
suspicious 	 అనుమానాస్పద
swallow 	 మింగు
swear 	 ప్రమాణం చేయు
swearing 	 ప్రమాణం చేయడం
sweat 	 చెమట
sweater 	 చలి కోటు
sweep 	 ఊడ్చు
sweet 	 తియ్యని
swell 	 ఉబ్బు
swelling 	 వాపు
swim 	 ఈదు
swimming 	 ఈత
swimming pool 	 ఈతకొలను
swing 	 ఉయ్యాల
switch 	 మీట
switch off 	 స్విచ్ ఆఫ్ చేయండి
swollen 	 వాచిన
symbol 	 చిహ్నం
sympathetic 	 సానుభూతి
sympathy 	 జాలి
system 	 వ్యవస్థ
table 	 బల్ల
tablet 	 మాత్ర
tackle 	 Tackle
tail 	 తోక
take 	 తీసుకో
take away 	 తీసుకువెళ్ళండి
take back 	 తిరిగి తీసుకోండి
take down 	 తీసివేయండి
take in 	 తీసుకోండి
take off 	 ఎగిరిపోవడం
take on 	 తీసుకోండి
take over 	 బాధ్యతలు స్వీకరించండి
take up 	 చేపట్టండి
talk 	 మాట్లాడు
tall 	 ఎత్తైన
tank 	 చెరువు
tap 	 కొళాయి
tape 	 టేపు
target 	 గురి
task 	 పని
taste 	 రుచి
tax 	 పన్ను
taxi 	 టాక్సీ
tea 	 టీ
teach 	 నేర్పు
teacher 	 గురువు
teaching 	 బోధన
team 	 జట్టు
tear 1 	 కన్నీళ్లు 1
tear 2 	 కన్నీళ్లు 2
tear up 	 కన్నీళ్లు
technical 	 పారిభాషిక
technique 	 పద్ధతి
technology 	 సాంకేతికత
telephone 	 దూరవాణి
television 	 టెలివిజన్
tell 	 చెప్పు
tell off 	 చెప్పండి
temperature 	 ఉష్ణోగ్రత
temporarily 	 ప్రస్తుతానికి
temporary 	 తాత్కాలిక
ten 	 పది
tend 	 కాచు
tendency 	 ఉన్ముఖత
tension 	 తన్యత
tent 	 గుడారం
tenth 	 పదో
term 	 గడువు
terrible 	 భీషణ
terribly 	 భయంకరంగా ఉంది
test 	 పరీక్ష
text 	 వచనం
than 	 కంటె
thank 	 ధన్యవాదాలు
thanks 	 ధన్యవాదాలు
thank you 	 ధన్యవాదాలు
that 	 అది
the 	 the
theatre 	 నాటకశాల
their 	 వారి
theirs 	 వారిది
them 	 వారు
theme 	 థీమ్
themselves 	 తమను తాము
then 	 తర్వాత
theory 	 సిద్ధాంతం
there 	 అక్కడ
therefore 	 కాబట్టి
they 	 వాళ్ళు
thick 	 మందమైన
thickly 	 చిక్కగా
thickness 	 దళసరి
thief 	 దొంగ
thin 	 పలుచని
thing 	 వస్తువు
think 	 ఆలోచించు
think about 	 దాని గురించి ఆలోచించండి
thinking 	 ఆలోచించుట
think of 	 ఆలోచించండి
think of as 	 ఇలా ఆలోచించండి
think over 	 ఆలోచించండి
think up 	 ఆలోచించండి
third 	 మూడవ
thirsty 	 దాహం
thirteen 	 పదమూడు
thirteenth 	 పదమూడవ
thirtieth 	 3th
thirty 	 ముప్పై
this 	 ఇది
thorough 	 సమగ్రంగా
thoroughly 	 కూలంకషంగా
though 	 అయినప్పటికీ
thought 	 ఆలోచన
thousand 	 వేలు
thousandth 	 వెయ్యవ
thread 	 దారం
threat 	 బెదిరింపు
threaten 	 బెదిరింపులు
threatening 	 బెదిరించడం
three 	 మూడు
throat 	 గొంతు
through 	 గుండా
throughout 	 అంత
throw 	 విసురు
throw away 	 విసిరేయండి
throw out 	 బయటకు విసిరేయండి
thumb 	 బొటనవేలు
Thursday 	 గురువారం
thus 	 అందుకని
ticket 	 చీటి
tidy 	 చక్కగా
tie 	 కట్టు
tie up 	 కట్టు కట్టు
tight 	 గట్టి
tightly 	 గట్టిగా
till 	 వరకు
time 	 సమయం
timetable 	 కాలసూచిక
tin 	 తగరం
tiny 	 చిన్నది
tip 	 కొన
tip over 	 చిట్కా ఓవర్
tire 	 tire
tired 	 అలసిన
tire out 	 టైర్ అవుట్
tiring 	 అలసట
title 	 బిరుదు
to 	 కు
today 	 ఈ రోజు
toe 	 కాలివేలు
together 	 కలసి
toilet 	 మరుగు దొడ్డి
tomato 	 మొలక్కాయ
tomorrow 	 రేపు
ton 	 టన్
tone 	 స్వరం
tongue 	 నాలుక
tonight 	 ఈ రాత్రి
tonne 	 టన్నులు
too 	 కూడా
tool 	 పనిముట్టు
tooth 	 దంతం
top 	 బొంగరం
topic 	 అంశం
total 	 మొత్తం
totally 	 అచ్చంగా
touch 	 తాకు
tough 	 ఇబ్బంది యైన
tour 	 పర్యటన
tourist 	 యాత్రికుడు
towards 	 దిశగా
towel 	 తువాలు
tower 	 బురుజు
town 	 బస్తీ
toy 	 ఆటబొమ్మ
trace 	 జాడ
track 	 జాడ
trade 	 వ్యాపారం
trading 	 ట్రేడింగ్
tradition 	 సంప్రదాయం
traditional 	 సనాతన
traditionally 	 అనూచానంగా
traffic 	 ట్రాఫిక్
train 	 రైలు
training 	 శిక్షణ
transfer 	 బదిలీ
transform 	 రూపాంతరం
translate 	 అనువదించు
translation 	 తర్జుమా
transparent 	 తేట
transport 	 రవాణా
transportation 	 రవాణా
trap 	 పన్నాగం
travel 	 ప్రయాణం
traveller 	 పథికుడు
treat 	 ఆదరించు
treatment 	 చికిత్స
tree 	 చెట్టు
trend 	 ధోరణి
trial 	 పరీక్ష
triangle 	 ముక్కోణం
trick 	 ఉపాయం
trip 	 యాత్ర
tropical 	 ఉష్ణమండల
trouble 	 కష్టం
trousers 	 ప్యాంటు
truck 	 ట్రక్కు
true 	 నిజమైన
truly 	 వాస్తవంగా
trust 	 నమ్మకం
truth 	 నిజం
try 	 ప్రయత్నించు
try on 	 ప్రయత్నించండి
try out 	 ప్రయత్నించండి
tube 	 క్రోవి
Tuesday 	 మంగళవారం
tune 	 రాగం
tunnel 	 సొరంగం
turn 	 తిప్పు
turn back 	 వెనక్కి తిరగండి
turn down 	 తిరస్కరించండి
turn into 	 ఇలాకి మారండి
turn off 	 ఆపివేయండి
turn on 	 ఆన్ చేయండి
turn out 	 హాజరు
turn over 	 టర్న్ ఆఫ్ చేయండి
turn round 	 తిరగండి
turn to 	 దీనికి టర్న్ చేయండి
turn up 	 తగులు
TV 	 టి.వి.
twelfth 	 పన్నెండవ
twelve 	 పన్నెండు
twentieth 	 ఇరవయ్యవ శతాబ్దం
twenty 	 ఇరవై
twice 	 రెట్టింపు
twin 	 కవల
twist 	 మెలిపెట్టు
twisted 	 వక్రీకరించబడింది
two 	 రెండు
type 	 రకం
typical 	 విలక్షణమైన
typically 	 సాధారణంగా
tyre 	 Tyr
the unemployed 	 నిరుద్యోగులు..
the unexpected 	 ఊహించనిది
ugly 	 అనాకార
ultimate 	 కడపటి
ultimately 	 అంతిమంగా
umbrella 	 గొడుగు
unable 	 సాధ్యం కాదు
unacceptable 	 ఆమోదించదగని
uncertain 	 అనిశ్చిత
uncle 	 మామయ్య
uncomfortable 	 అసౌకర్యం
unconscious 	 మూర్ఛ
uncontrolled 	 అనియంత్రితం
under 	 క్రింద
underground 	 భూగర్భ
underneath 	 అడుగున ఉన్న
understand 	 గ్రహించు
understanding 	 అవగాహన
underwater 	 నీటి అడుగున
underwear 	 చెడ్డీ
undo 	 undo
unemployed 	 నిరుద్యోగులు
unemployment 	 నిరుద్యోగం
unexpected 	 ఆకస్మిక
unexpectedly 	 అకస్మాత్తుగా
unfair 	 అన్యాయమైన
unfairly 	 అన్యాయంగా
unfortunate 	 దురదృష్టకరం
unfortunately 	 దురదృష్టవశాత్తు
unfriendly 	 అన్ ఫ్రెండ్లీ
unhappy 	 అసంతృప్తిగా ఉంది
uniform 	 ఏకరీతి
unimportant 	 unimportant
union 	 అతుకు
unique 	 అద్వితీయ
unit 	 యూనిట్
unite 	 ఏకం చేయు
united 	 కూడిన
universe 	 జగత్తు
university 	 విశ్వవిద్యాలయం
unkind 	 unkind
unknown 	 అజ్ఞాత
unless 	 తప్ప
unlike 	 భిన్నంగా
unlikely 	 సాధ్యం కాదు
unload 	 దించు
unlucky 	 దురదృష్టం
unnecessary 	 అనవసరం
unpleasant 	 కటువు
unreasonable 	 అసమంజసంగా
unsteady 	 అస్థిర
unsuccessful 	 విఫలమైంది
untidy 	 untidy
until 	 వరకు
unusual 	 అసామాన్యమైన
unusually 	 అసాధారణంగా
unwilling 	 ఇష్టం లేదు
unwillingly 	 అయిష్టంగా
up 	 పైకి
upon 	 పైన
upper 	 మీది
upset 	 తలకిందులు చేయు
upsetting 	 కలత చెందడం
upside down 	 తలక్రిందులు
upstairs 	 మేడ
upward 	 పైకి
upwards 	 పైకి
urban 	 నగర
urge 	 అమితమైన కోరిక
urgent 	 అత్యవసర
us 	 మనకు
use 	 ఉపయోగం
used 1 	 ఉపయోగించబడింది 1
used 2 	 ఉపయోగించబడింది 2
used to 	 దీనికి ఉపయోగించబడింది
useful 	 ఉపయోగకరము
useless 	 కొరగాని
user 	 వినియోగదారు
use up 	 ఉపయోగించండి
usual 	 మామూలు
usually 	 సాధారణంగా
vacation 	 సెలవులు
valid 	 చెల్లుబాటు అవుతుంది
valley 	 లోయ
valuable 	 విలువైన
value 	 విలువ
van 	 van
variation 	 మార్పు
varied 	 వేర్వేరు
variety 	 భిన్నత్వం
various 	 విభిన్న
vary 	 మారుతుంది
vast 	 విస్తారంగా
vegetable 	 కూరగాయ
vehicle 	 వాహనం
venture 	 తెగించు
version 	 వెర్షన్
vertical 	 నిలువు
very 	 చాలా
via 	 ద్వారా
victim 	 బాధితుడు
victory 	 గెలుపు
video 	 వీడియో
view 	 దృశ్యం
village 	 ఊరు
violence 	 హింస
violent 	 హింసాత్మకమైన
violently 	 హింసాత్మకంగా
virtually 	 వర్చువల్ గా
virus 	 వైరస్
visible 	 స్పష్టమైన
vision 	 దృష్టి
visit 	 దర్శించు
visitor 	 సందర్శకుడు
vital 	 కీలకం
vocabulary 	 పదజాలం
voice 	 గొంతు
volume 	 ఘనపరిమాణం
vote 	 ఓటు
wage 	 నడుపు
waist 	 నడుము
wait 	 వేచి ఉండు
waiter 	 వేచి చూసేవాడు
wake 	 మేలుకో
walk 	 నడక
walking 	 నడక
walk out 	 బయటకు నడవండి
walk up 	 పైకి నడవండి
wall 	 గోడ
wallet 	 వాలెట్
wander 	 దారితప్పు
want 	 కోరు
war 	 యుద్ధం
warm 	 వెచ్చని
warmth 	 సెగ
warm up 	 వేడెక్కండి
warn 	 హెచ్చరించు
warning 	 హెచ్చరిక
wash 	 కడుగు
wash away 	 కడగండి
washing 	 కడగడం
wash off 	 కడగండి
wash out 	 కడగండి
wash up 	 కడగండి
waste 	 బీడు
watch 	 కాపలా
watch out 	 జాగ్రత్తగా చూడు
watch out for 	 జాగ్రత్త వహించండి
water 	 నీరు
wave 	 అల
way 	 పద్ధతి
we 	 మేము
weak 	 బలహీనమైన
weakness 	 బలహీనత
wealth 	 సంపద
weapon 	 ఆయుధం
wear 	 ధరించు
wear away 	 అరుగుదల
wear off 	 అలసిపోండి
wear out 	 అలసిపోవడం
weather 	 కాలము
web 	 సాలెగూడు
website 	 వెబ్ సైట్
wedding 	 పెళ్ళి
Wednesday 	 బుధవారం
week 	 వారం
weekend 	 వీకెండ్
weekly 	 వార పత్రిక
weigh 	 తూగు
weight 	 బరువు
welcome 	 స్వాగతం
well 	 నుయ్యి
well known 	 బాగా ప్రసిద్ధి చెందింది
west 	 పడమర
western 	 పడమటి
wet 	 తడి
what 	 ఏమి
whatever 	 ఏమైనా
wheel 	 చక్రం
when 	 ఎప్పుడు
whenever 	 ఎప్పుడైనా
where 	 ఎక్కడ
whereas 	 అయితే
wherever 	 ఎక్కడైనా
whether 	 లేదా
which 	 ఏది
while 	 కొంచెం సేపు
whisper 	 గుసగుస
whistle 	 ఈల
white 	 తెలుపు
who 	 ఎవరు
whoever 	 ఎవరైతే
whole 	 మొత్తం
whom 	 ఎవరిని
whose 	 ఎవరిది
why 	 ఎందువల్ల
wide 	 వెడల్పైన
widely 	 విస్తృతంగా
width 	 వెడల్పు
wife 	 భార్య
wild 	 అడవి
wildly 	 క్రూరంగా
will 	 వీలునామా
willing 	 సుముఖత
willingly 	 ఇష్టపూర్వకంగా
willingness 	 సుముఖత
win 	 జయించు
wind 1 	 గాలి 1
wind 2 	 గాలి 2
window 	 కిటికి
wine 	 ద్రాక్ష సారాయి
wing 	 రెక్క
winner 	 విజేత
winning 	 విజయం సాధించింది
winter 	 చలికాలం
wire 	 తీగ
wise 	 తెలివైన
wish 	 కోరిక
with 	 తో
withdraw 	 ఉపసంహరించు
within 	 లోబడి
without 	 లేక
witness 	 సాక్షి
woman 	 ఆడది
wonder 	 వింత
wonderful 	 ఆశ్చర్యకరమైన
wood 	 కలప
wooden 	 చెక్క
wool 	 ఉన్ని
word 	 మాట
work 	 పని
worker 	 కార్మికుడు
working 	 పని చేయడం
work out 	 పని
world 	 ప్రపంచం
worried 	 ఆందోళన చెందుతున్నారు
worry 	 ఆందోళన
worrying 	 ఆందోళన చెందుతున్నారు
worse 	 మరింత ఘోరం
worship 	 ఆరాధించు
worst 	 చెత్త
worth 	 యోగ్యత
would 	 ఉంటుంది
wound 1 	 గాయం 1
wounded 	 గాయపడిన వారు
wrap 	 చుట్టబెట్టు
wrapping 	 చుట్టడం
wrist 	 మణికట్టు
write 	 రచించు
write back 	 తిరిగి రాయండి
write down 	 రాయండి
writer 	 రచయిత
writing 	 రాత
written 	 రాశారు
wrong 	 పొరపాటు
wrongly 	 తప్పుగా
yard 	 దొడ్డి
yawn 	 ఆవలించు
yeah 	 అవును
year 	 ఏడాది
yellow 	 పసుపు
yes 	 అవును
yesterday 	 నిన్న
yet 	 ఇంకా
you 	 మీరు
young 	 యువ
your 	 నీ
yours 	 నీకు
yourself 	 నువ్వే
youth 	 యవ్వనం
zero 	 సున్న
zone 	 మండలం
=== end == 	 === ముగింపు ==
